id,ecosystem,harness,downstream,library,v_old,v_new,reference_fix_source,root_api,image
async-applyeach-curried-sc-broker,javascript,lockfile,SocketCluster/sc-broker,async,2.6.1,3.2.6,documentation,async.applyEachSeries,node:16
async-callback-false-cancels-forerunnerdb,javascript,lockfile,Irrelon/ForerunnerDB,async,2.6.0,3.2.6,documentation,async.waterfall,node:16
async-queue-drain-becomes-method-acetate,javascript,lockfile,patrickarlt/acetate,async,2.6.1,3.2.6,documentation,async.queue,node:18
async-queue-drain-becomes-method-bulk-html-loader,javascript,lockfile,ChristianRich/bulk-html-loader,async,2.6.4,3.2.6,documentation,async.queue,node:18
async-queue-drain-becomes-method-koop-socrata,javascript,lockfile,koopjs/koop-socrata,async,2.6.4,3.2.6,documentation,async.queue,node:16
async-whilst-sync-test-repoman,javascript,lockfile,basti1302/repoman,async,2.6.0,3.2.6,documentation,async.whilst,node:6
async-whilst-sync-test-serverless-gcf,javascript,lockfile,serverless/serverless-google-cloudfunctions,async,2.6.4,3.2.6,documentation,async.whilst,node:16
async-whilst-sync-test-waterline,javascript,lockfile,balderdashy/waterline,async,2.6.4,3.2.6,documentation,async.whilst,node:16
bluebird-promisify-context-async-rtree,javascript,lockfile,calvinmetcalf/async-rtree,bluebird,2.11.0,3.7.2,documentation,Promise.promisify,node:8
bluebird-promisify-multiargs-balena-request,javascript,lockfile,balena-io-modules/balena-request,bluebird,2.11.0,3.7.2,documentation,Promise.promisify,node:8
bluebird-promisify-multiargs-talk-node-sdk,javascript,lockfile,jianliaoim/talk-node-sdk,bluebird,2.11.0,3.7.2,documentation,Promise.promisify,node:8
bluebird-promisifyall-multiargs-oose-sdk,javascript,lockfile,nullivex/oose-sdk,bluebird,2.11.0,3.7.2,documentation,bluebird.promisifyAll,node:8
bluebird-promisifyall-multiargs-wary,javascript,lockfile,balena-io-modules/wary,bluebird,2.11.0,3.7.2,documentation,bluebird.promisifyAll,node:8
body-parser-req-body-no-longer-initialized-body-parser-xml,javascript,lockfile,fiznool/body-parser-xml,body-parser,1.20.2,2.3.0,documentation,bodyParser.text,node:18
chokidar-glob-expansion-removed-esbuild-plugin-copy-watch,javascript,lockfile,tinchoz49/esbuild-plugin-copy-watch,chokidar,3.6.0,4.0.3,documentation,chokidar.watch,node:18
chokidar-glob-expansion-removed-glob-watcher,javascript,lockfile,gulpjs/glob-watcher,chokidar,3.6.0,4.0.3,documentation,chokidar.watch,node:18
chokidar-glob-expansion-removed-gulp-watch,javascript,lockfile,floatdrop/gulp-watch,chokidar,3.4.2,4.0.3,documentation,chokidar.watch,node:18
command-line-usage-markup-syntax-cliss,javascript,lockfile,DiegoZoracKy/cliss,command-line-usage,4.1.0,5.0.5,documentation,commandLineUsage,node:16
