@isaacs/cliui	@isaacs/cliui@8.0.2
@isaacs/cliui/node_modules/ansi-regex	ansi-regex@6.2.2
@isaacs/cliui/node_modules/strip-ansi	strip-ansi@7.2.0
@pkgjs/parseargs	@pkgjs/parseargs@0.11.0
abbrev	abbrev@1.1.1
ansi-gray	ansi-gray@0.1.1
ansi-regex	ansi-regex@2.1.1
ansi-styles	ansi-styles@2.2.1
ansi-wrap	ansi-wrap@0.1.0
archy	archy@1.0.0
argparse	argparse@2.0.1
arr-diff	arr-diff@4.0.0
arr-flatten	arr-flatten@1.1.0
arr-union	arr-union@3.1.0
array-differ	array-differ@1.0.0
array-each	array-each@1.0.1
array-slice	array-slice@1.1.0
array-uniq	array-uniq@1.0.3
array-unique	array-unique@0.3.2
assertion-error	assertion-error@1.1.0
assign-symbols	assign-symbols@1.0.0
atob	atob@2.1.2
available-typed-arrays	available-typed-arrays@1.0.7
balanced-match	balanced-match@1.0.2
base	base@0.11.2
base/node_modules/define-property	define-property@1.0.0
base/node_modules/is-descriptor	is-descriptor@1.0.4
beeper	beeper@1.1.1
brace-expansion	brace-expansion@1.1.18
braces	braces@2.3.2
braces/node_modules/extend-shallow	extend-shallow@2.0.1
browser-stdout	browser-stdout@1.3.1
cache-base	cache-base@1.0.1
call-bind	call-bind@1.0.9
call-bind-apply-helpers	call-bind-apply-helpers@1.0.2
call-bound	call-bound@1.0.4
camelcase	camelcase@6.3.0
chai	chai@3.2.0
chalk	chalk@1.1.3
chokidar	chokidar@4.0.3
class-utils	class-utils@0.3.6
class-utils/node_modules/define-property	define-property@0.2.5
cliui	cliui@8.0.1
cliui/node_modules/ansi-regex	ansi-regex@5.0.1
cliui/node_modules/ansi-styles	ansi-styles@4.3.0
cliui/node_modules/emoji-regex	emoji-regex@8.0.0
cliui/node_modules/string-width	string-width@4.2.3
cliui/node_modules/strip-ansi	strip-ansi@6.0.1
cliui/node_modules/wrap-ansi	wrap-ansi@7.0.0
clone	clone@1.0.4
clone-stats	clone-stats@0.0.1
collection-visit	collection-visit@1.0.0
color-convert	color-convert@2.0.1
color-name	color-name@1.1.4
color-support	color-support@1.1.3
colors	colors@1.0.3
commander	commander@2.3.0
component-emitter	component-emitter@1.3.1
concat-map	concat-map@0.0.1
copy-descriptor	copy-descriptor@0.1.1
core-util-is	core-util-is@1.0.3
cross-spawn	cross-spawn@7.0.6
cross-spawn/node_modules/which	which@2.0.2
dateformat	dateformat@2.2.0
debug	debug@2.6.9
decamelize	decamelize@4.0.0
